episode	global_ep_reward	episode_reward	loss	num_steps	global_steps	worker_idx
0	50.846056782334266	50.846056782334266	0.17316062777650124	153	153	1
1	50.914895534238816	57.72993197278899	0.12679719363941866	170	323	7
2	50.95888450993091	55.31379310344816	0.09247158835915958	170	493	3
3	50.906161336473396	45.686567164179	0.07529959594004253	169	662	6
4	50.91337423291258	51.62745098039204	0.0735410995031955	169	831	2
5	50.8925477006148	48.830721003134656	0.07026000276825131	169	1000	5
6	50.48109763344472	9.747540983607038	0.12535456185028931	214	1214	4
7	50.611194406187764	63.4907749077493	0.164641771385138	139	1353	7
8	50.70976331318972	60.468085106382944	0.15774757055927524	139	1492	1
9	50.69659649766788	49.393081761006194	0.2115107436678303	134	1626	6
